"selection1_name","selection1_url","selection1_selection2"
"Why are IITs not able to perform world class research and publish papers in the top Journals of the world?","https://www.quora.com/Why-are-IITs-not-able-to-perform-world-class-research-and-publish-papers-in-the-top-Journals-of-the-world","The sad part of this is that most of the answers here are true. A friend of mine, George, had done his PhD in ultrafast femtosecond laser applications from Germany, a postdoc from MIT and the University of Pennsylvania. He had a CV to die for! His PhD group had pioneered a kind of groundbreaking medic…"
"Why are IITs not able to perform world class research and publish papers in the top Journals of the world?","https://www.quora.com/Why-are-IITs-not-able-to-perform-world-class-research-and-publish-papers-in-the-top-Journals-of-the-world","I am a senior PhD student who is about to pass out very soon from one of the older IITs. So here is my opinion. Gone are the days where jobless people in BTech join PhD so they can feed their mouths for a little while. Half of my batch mates joined PhD after resigning from corporate jobs. I am talki…"
"Is the campus of IIT Delhi the most beautiful campus of all IITs?","https://www.quora.com/Is-the-campus-of-IIT-Delhi-the-most-beautiful-campus-of-all-IITs","Visit IIT Guwahati once in your life time and I am sure you will fall in love with this place. Have a look at the collection of the IITG photographs made by the photography club of IIT Guwahati: Amazing, IIT Guwahati ! Here are a few of them: Credits: Saurabh Soni Credits: Sajith Soman Credits: Sajith…"
"Why did someone with an AIR of 64 in 2017 take Engineering Physics at IIT Bombay?","https://www.quora.com/Why-did-someone-with-an-AIR-of-64-in-2017-take-Engineering-Physics-at-IIT-Bombay","Simple. He knows what he wants to do in life. He actually has a passion for physics, unlike the majority of sheep in India, and he is strong enough to follow his heart instead of listening to his peers, who probably insisted he take CSE Delhi. <brag> I had an AIR of 22 in JEE Advanced 2015. I changed f…"
"Why are IITs not able to perform world class research and publish papers in the top Journals of the world?","https://www.quora.com/Why-are-IITs-not-able-to-perform-world-class-research-and-publish-papers-in-the-top-Journals-of-the-world","I dropped out of PhD from IIT Delhi. I saw no scope of doing any fruitful research there. It was a personal decision based on my life priorities. I did not want to waste my life's prime years. I am writing anonymously to avoid unnecessary drama with my previous peers. Here are the reasons I observed…"
"How do I manage fitness and academics at IIT given the huge workload?","https://www.quora.com/How-do-I-manage-fitness-and-academics-at-IIT-given-the-huge-workload","Of the 10 semesters I spent in IITR, my best was the one when I scored 8.953 (Quite high by my personal standards). So what was so special about this semester, you must be wondering. Did I study extra hard? No Was the semester easier? Relatively, yes. But so was it for everyone. Did I get lucky with the…"
"Which is a better place to study, IIT Delhi or IIT Bombay?","https://www.quora.com/Which-is-a-better-place-to-study-IIT-Delhi-or-IIT-Bombay","IIT Bombay. Let me tell you why- 1. IITB has a better campus and is situated in a better area. Both Hauz Khas and Powai are really posh neighborhoods but Powai is a class apart. 2. IITB and IITD both have similar research scope, but IITB holds the edge so far ( More patents and papers). 3. IITB has the better “E…"
"Should 24-hour internet be provided in the hostel rooms of IIT?","https://www.quora.com/Should-24-hour-internet-be-provided-in-the-hostel-rooms-of-IIT","Yes Cutting internet/LAN at night is just an adult version of parents setting bedtime for children. The only real point of the ban is to ensure that students sleep on time. This in itself makes the idea pathetic. Pretty much everyone at IITs is an adult. Each of them has had enough number of academic…"
"What is normal at IITs but weird in rest of Indian colleges?","https://www.quora.com/What-is-normal-at-IITs-but-weird-in-rest-of-Indian-colleges","There are so many things which happens at IIT's and other government colleges but not at private ones. 1. GPL ( G**nd pe laat) at your birthday, not only kicks, sometimes it includes belts and bats as well. 2. At IIT Kharagpur, PG people sit on the road every night after 1 AM during summer breaks and they p…"
"How do you see IITD securing a 112 rank among 140 teams in the ACM ICPC World Finals 2015?","https://www.quora.com/How-do-you-see-IITD-securing-a-112-rank-among-140-teams-in-the-ACM-ICPC-World-Finals-2015","Indian athletes and sportspersons end up close to last in many Olympic events. Rather than being ashamed of them, we still support them and award them sporting honours. The list of Rajiv Gandhi Khel Ratna and Arjuna awardees consists of multiple individuals who failed to win a medal at the Olympics.…"
